question_id,question_text,answer_id,answer_text,grade_level,academic_year_id,avg_knowledge_pct,student_count
2,Who is the Bread of Life? ,1,Moses,2,2,41.21621621621622,196
2,Who is the Bread of Life? ,2,Jesus,2,2,62.07681932355705,10037
2,Who is the Bread of Life? ,3,Joseph,2,2,40.46798476328678,149
2,Who is the Bread of Life? ,4,Noah,2,2,40.50911376492772,86
4,What takes place at Mass? ,9,Bread and wine become the Body and Blood of Jesus,2,2,63.38371585229754,8910
4,What takes place at Mass? ,10,Bread and wine are shown as symbols for Jesus ,2,2,51.58974633702087,1009
4,What takes place at Mass? ,11,Bread and wine are removed from the church ,2,2,37.431120440829176,206
4,What takes place at Mass? ,12,Bread and wine are shared after Mass ends ,2,2,47.44038155802862,340
30,Which person of the Trinity was present at Pentecost and still guides the Church today?,106,The Son,2,2,54.90196078431372,1
30,Which person of the Trinity was present at Pentecost and still guides the Church today?,107,The Holy Spirit,2,2,88.23529411764706,1
31,Stories Jesus told are called:,1601,Fables,2,2,52.76830228286539,824
31,Stories Jesus told are called:,1611,Fairy Tales,2,2,40.23418884879842,397
31,Stories Jesus told are called:,1621,Parables,2,2,73.52486447345245,2762
31,Stories Jesus told are called:,1631,Gospels,2,2,58.34712263283692,6467
36,Who or what is made in the image and likeness of God?,125,Human beings,2,2,64.63880961557616,6239
36,Who or what is made in the image and likeness of God?,126,Animals,2,2,43.59282061984765,518
36,Who or what is made in the image and likeness of God?,127,Plants,2,2,42.828828828828826,300
36,Who or what is made in the image and likeness of God?,128,The Universe ,2,2,59.22047194080096,3404
45,Which Church season begins the liturgical year?,158,Advent,2,2,71.56862745098039,2
51,"What do we call the Father, the Son, and the Holy Spirit? ",1681,The Trinity ,2,2,67.93767144848675,6009
51,"What do we call the Father, the Son, and the Holy Spirit? ",1691,The Mystery ,2,2,44.645588985211624,318
51,"What do we call the Father, the Son, and the Holy Spirit? ",1701,The Holy Family ,2,2,52.39110370570026,3309
51,"What do we call the Father, the Son, and the Holy Spirit? ",1711,All of these,2,2,54.21226104152933,820
61,Who were the Apostles?,1721,The people who crucified Jesus,2,2,48.648648648648646,1
61,Who were the Apostles?,1731,Jesus’ 12 closest followers,2,2,102.16216216216216,5
71,When did Jesus give us the Eucharist?,1761,After He ascended,2,2,49.878329710262484,833
71,When did Jesus give us the Eucharist?,1771,The wedding at Cana,2,2,43.598713536083054,479
71,When did Jesus give us the Eucharist?,1781,After His Baptism,2,2,45.58746002179032,769
71,When did Jesus give us the Eucharist?,1791,At the Last Supper,2,2,64.80676998947837,8373
87,How did God save us from sin?,309,He made sin okay,2,2,44.91112734355978,444
87,How did God save us from sin?,310,He made it so we can't sin anymore,2,2,46.95838695838696,945
87,How did God save us from sin?,311,He let us give Him sacrifices,2,2,52.663989772584046,1501
87,How did God save us from sin?,312,He sent His Son into the world,2,2,65.60290512031018,7583
88,What did Jesus come to earth to do? ,313,Beat the Romans,2,2,45.270270270270274,388
88,What did Jesus come to earth to do? ,314,Save souls,2,2,64.54202307684805,8311
88,What did Jesus come to earth to do? ,315,Build a temple for Himself,2,2,43.54164890442493,317
88,What did Jesus come to earth to do? ,316,Find the Holy Grail,2,2,50.130116361203015,1454
89,_________ breaks our friendship with God. ,317,Simple sin,2,2,48.17384952520088,1035
89,_________ breaks our friendship with God. ,318,Minor sin,2,2,50.710710710710714,810
89,_________ breaks our friendship with God. ,319,Mortal sin,2,2,66.67057984625552,6216
89,_________ breaks our friendship with God. ,320,Venial sin,2,2,56.23597018945856,2408
90,Who is the Lord's Prayer said to?,321,God the Father,2,2,65.40821505610238,5963
90,Who is the Lord's Prayer said to?,322,Jesus,2,2,55.79104284140255,2085
90,Who is the Lord's Prayer said to?,323,The Holy Spirit,2,2,53.81117254922226,1569
90,Who is the Lord's Prayer said to?,324,St. Peter,2,2,58.707820246281784,845
91,Who is the Mother of God? ,1841,Elizabeth,2,2,46.57030448169689,632
91,Who is the Mother of God? ,1851,The Virgin Mary ,2,2,63.158798333216936,9287
91,Who is the Mother of God? ,1861,Anna,2,2,47.1042471042471,343
91,Who is the Mother of God? ,1871,Ruth,2,2,42.08094104467161,193
93,We should pray: ,329,When we need something,2,2,46.41494435612083,340
93,We should pray: ,330,Only when we have free time,2,2,42.68913264729164,239
93,We should pray: ,331,Once a week,2,2,42.43537015276146,184
